stellarType,starColor
O0Ia0,144 166 255
O0Ia,144 166 255
O0Ib,144 166 255
O0II,144 166 255
O0III,144 166 255
O0IV,144 166 255
O0V,144 166 255
O0VI,144 166 255
O1Ia0,146 168 255
O1Ia,146 168 255
O1Ib,146 168 255
O1II,146 168 255
O1III,146 168 255
O1IV,145 167 255
O1V,146 168 255
O1VI,146 168 255
O2Ia0,148 170 255
O2Ia,148 170 255
O2Ib,148 170 255
O2II,148 170 255
O2III,148 169 255
O2IV,146 169 255
O2V,148 170 255
O2VI,148 170 255
O3Ia0,151 172 255
O3Ia,151 172 255
O3Ib,151 172 255
O3II,149 173 255
O3III,150 171 255
O3IV,148 170 255
O3V,151 172 255
O3VI,151 172 255
O4Ia0,153 174 255
O4Ia,153 174 255
O4Ib,153 174 255
O4II,151 175 255
O4III,152 172 255
O4IV,149 171 255
O4V,153 174 255
O4VI,153 174 255
O5Ia0,155 176 255
O5Ia,155 176 255
O5Ib,155 176 255
O5II,153 177 255
O5III,154 174 255
O5IV,150 172 255
O5V,155 176 255
O5VI,155 176 255
O6Ia0,157 178 255
O6Ia,157 178 255
O6Ib,157 178 255
O6II,155 179 255
O6III,156 175 255
O6IV,151 174 255
O6V,162 184 255
O6VI,162 184 255
O7Ia0,160 181 255
O7Ia,160 181 255
O7Ib,160 181 255
O7II,156 181 255
O7III,158 177 255
O7IV,152 175 255
O7V,157 177 255
O7VI,157 177 255
O8Ia0,162 183 255
O8Ia,162 183 255
O8Ib,162 183 255
O8II,158 183 255
O8III,157 178 255
O8IV,153 176 255
O8V,157 177 255
O8VI,157 177 255
O9Ia0,164 185 255
O9Ia,164 185 255
O9Ib,164 185 255
O9II,160 186 255
O9III,158 177 255
O9IV,155 177 255
O9V,154 178 255
O9VI,154 178 255
B0Ia0,161 189 255
B0Ia,161 189 255
B0Ib,161 189 255
B0II,162 188 255
B0III,158 177 255
B0IV,156 179 255
B0V,156 178 255
B0VI,156 178 255
B1Ia0,168 193 255
B1Ia,168 193 255
B1Ib,168 193 255
B1II,163 190 255
B1III,158 177 255
B1IV,157 180 255
B1V,160 182 255
B1VI,160 182 255
B2Ia0,177 196 255
B2Ia,177 196 255
B2Ib,177 196 255
B2II,165 192 255
B2III,159 180 255
B2IV,159 179 255
B2V,160 180 255
B2VI,160 180 255
B3Ia0,175 194 255
B3Ia,175 194 255
B3Ib,175 194 255
B3II,168 193 255
B3III,163 187 255
B3IV,166 188 255
B3V,165 185 255
B3VI,165 185 255
B4Ia0,187 203 255
B4Ia,187 203 255
B4Ib,187 203 255
B4II,172 194 255
B4III,166 188 255
B4IV,169 190 255
B4V,164 184 255
B4VI,164 184 255
B5Ia0,179 202 255
B5Ia,179 202 255
B5Ib,179 202 255
B5II,175 195 255
B5III,168 189 255
B5IV,172 192 255
B5V,170 191 255
B5VI,170 191 255
B6Ia0,191 207 255
B6Ia,191 207 255
B6Ib,191 207 255
B6II,177 196 255
B6III,170 190 255
B6IV,175 194 255
B6V,172 189 255
B6VI,172 189 255
B7Ia0,195 209 255
B7Ia,195 209 255
B7Ib,195 209 255
B7II,179 198 255
B7III,171 191 255
B7IV,170 189 255
B7V,173 191 255
B7VI,173 191 255
B8Ia0,182 206 255
B8Ia,182 206 255
B8Ib,182 206 255
B8II,181 199 255
B8III,175 193 255
B8IV,175 193 255
B8V,177 195 255
B8VI,177 195 255
B9Ia0,204 216 255
B9Ia,204 216 255
B9Ib,204 216 255
B9II,182 201 255
B9III,178 195 255
B9IV,180 197 255
B9V,181 198 255
B9VI,181 198 255
A0Ia0,187 206 255
A0Ia,187 206 255
A0Ib,187 206 255
A0II,184 202 255
A0III,188 205 255
A0IV,179 197 255
A0V,185 201 255
A0VI,185 201 255
A1Ia0,214 223 255
A1Ia,214 223 255
A1Ib,214 223 255
A1II,186 204 255
A1III,188 204 255
A1IV,183 200 255
A1V,181 199 255
A1VI,181 199 255
A2Ia0,199 214 255
A2Ia,199 214 255
A2Ib,199 214 255
A2II,188 205 255
A2III,189 204 255
A2IV,186 202 255
A2V,187 203 255
A2VI,187 203 255
A3Ia0,207 219 255
A3Ia,207 219 255
A3Ib,207 219 255
A3II,190 207 255
A3III,189 203 255
A3IV,190 205 255
A3V,191 207 255
A3VI,191 207 255
A4Ia0,215 224 255
A4Ia,215 224 255
A4Ib,215 224 255
A4II,192 208 255
A4III,196 209 255
A4IV,195 210 255
A4V,197 211 255
A4VI,197 211 255
A5Ia0,223 229 255
A5Ia,223 229 255
A5Ib,223 229 255
A5II,194 210 255
A5III,202 215 255
A5IV,212 220 255
A5V,202 215 255
A5VI,202 215 255
A6Ia0,219 226 255
A6Ia,219 226 255
A6Ib,219 226 255
A6II,196 211 255
A6III,209 219 255
A6IV,202 214 255
A6V,199 212 255
A6VI,199 212 255
A7Ia0,215 223 255
A7Ia,215 223 255
A7Ib,215 223 255
A7II,197 213 255
A7III,210 219 255
A7IV,192 207 255
A7V,200 213 255
A7VI,200 213 255
A8Ia0,210 221 255
A8Ia,210 221 255
A8Ib,210 221 255
A8II,199 214 255
A8III,209 219 255
A8IV,208 217 255
A8V,213 222 255
A8VI,213 222 255
